Question,Answer,Difficulty,Options
What is 5 + 3?,8,Easy,"['8', '3.14', '(-b ± √(b^2 - 4ac))/(2a)', 'e^x + C']"
What is 12 - 4?,8,Easy,"['-2', '8', '2πr', '15']"
What is 7 * 6?,42,Easy,"['3', '1/s', '42', '15']"
What is 16 / 4?,4,Easy,"['28.27', '4', '-1', '25']"
What is the square root of 25?,5,Easy,"['2x', '2', '5', '100']"
What is 10^2?,100,Easy,"['7', '8', '4', '100']"
What is 8 + 7?,15,Easy,"['5', '51', '1.618', '15']"
What is 14 - 9?,5,Easy,"['28.27', '4', '1', '5']"
What is 5 * 5?,25,Easy,"['25', '1.618', '180', 'ln(5)']"
What is 49 / 7?,7,Easy,"['7', 'a^2 + b^2 = c^2', '2.72', '1.618']"
What is the value of pi to two decimal places?,3.14,Easy,"['2', '27', '8/3', '3.14']"
What is 3^3?,27,Easy,"['120', 'x^2 + C', '5050', '27']"
What is 15 / 3?,5,Easy,"['2πr', '27', '5', '-1']"
What is 6 * 7?,42,Easy,"['1 + x + x^2/2 + x^3/6 + ...', '1', '42', '100']"
What is the sum of angles in a triangle?,180 degrees,Easy,"['e^x + C', '5050', '180 degrees', '3.14']"
What is the next prime number after 7?,11,Easy,"['11', '3.14', '3', '100']"
What is 9 + 10?,19,Easy,"['-2', '5050', '19', 'a^2 + b^2 = c^2']"
What is 100 - 45?,55,Easy,"['55', 'x^2 + C', '42', '(2, 0)']"
What is 25 / 5?,5,Easy,"['25', '1.618', '180 degrees', '5']"
What is 36 + 64?,100,Easy,"['-2', '1', '15', '100']"
What is the derivative of x^2?,2x,Medium,"['2x', '1/x', '25', '11']"
What is the integral of 2x?,x^2 + C,Medium,"['a^2 + b^2 = c^2', 'x^2 + C', '-2', '0.5']"
What is the value of sin(30 degrees)?,0.5,Medium,"['55', '19', '0.5', '15']"
Solve for x: 2x + 3 = 7,2,Medium,"['2', '7', '1', '-1']"
What is the area of a circle with radius 3?,28.27,Medium,"['120', '28.27', '(-b ± √(b^2 - 4ac))/(2a)', '28']"
What is the sum of the first 10 natural numbers?,55,Medium,"['2x', '55', '0', '15']"
What is 12 * 15?,180,Medium,"['180', '28.27', '1/x', '120']"
What is the value of cos(90 degrees)?,0,Medium,"['8', '(4/3)πr^3', '0', '5']"
What is the quadratic formula?,(-b ± √(b^2 - 4ac))/(2a),Medium,"['-1', '(-b ± √(b^2 - 4ac))/(2a)', '1', '3.14']"
What is the logarithm base 10 of 1000?,3,Medium,"['2πr', 'cos(x)', '3', '(2, 0)']"
Solve for y: 3y - 2 = 7,3,Medium,"['2', '55', '3', '15']"
What is the formula for the circumference of a circle?,2πr,Medium,"['4', '[[-2, 1], [1.5, -0.5]]', '2πr', 'e^x + C']"
